,missed sales 0,missed sales 1,missed sales 2,missed sales 3,missed sales 4,missed sales 5,missed sales 6,missed sales 7,missed sales 8,missed sales 9
542,24,24,14,20,12,14,14,20,27,25
543,24,24,14,20,12,14,14,20,27,25
544,24,24,14,20,12,14,14,20,27,25
545,24,24,14,20,12,14,14,20,27,25
546,24,24,14,20,12,14,14,20,27,25
547,24,24,14,20,12,14,14,20,27,25
548,24,24,14,20,12,14,14,20,27,25
549,24,24,14,20,12,14,14,20,27,25
550,24,24,14,20,12,14,14,20,27,25
551,24,24,14,20,12,14,14,20,27,25
552,24,24,14,20,12,14,14,20,27,25
553,24,24,14,20,12,14,14,20,27,25
554,24,24,14,20,12,14,14,20,27,25
555,24,24,14,20,12,14,14,20,27,25
556,24,24,14,20,12,14,14,20,27,25
557,24,24,14,20,12,14,14,20,27,25
558,24,24,14,20,12,14,14,20,27,25
559,24,24,14,20,12,14,14,20,27,25
560,24,24,14,20,12,14,14,20,27,25
561,24,24,14,20,12,14,14,20,27,25
562,24,24,14,20,12,14,14,20,27,25
563,24,24,14,20,12,14,14,20,27,25
564,24,24,14,20,12,14,14,20,27,25
565,24,24,14,20,12,14,14,20,27,25
566,24,24,14,20,12,14,14,20,27,25
567,24,24,14,20,12,14,14,20,27,25
568,24,24,14,20,12,14,14,20,27,25
569,24,24,14,20,12,14,14,20,27,25
570,24,24,14,20,12,14,14,20,27,25
571,24,24,14,20,12,14,14,20,27,25
572,24,24,14,20,12,14,14,20,27,25
573,24,24,14,20,12,14,14,20,27,25
574,24,24,14,20,12,14,14,20,27,25
575,24,24,14,20,12,14,14,20,27,25
576,24,24,14,20,12,14,14,20,27,25
577,24,24,14,20,12,14,14,20,27,25
578,24,24,14,20,12,14,14,20,27,25
579,24,24,14,20,12,14,14,20,27,25
580,24,24,14,20,12,14,14,20,27,25
581,24,24,14,20,12,14,14,20,27,25
582,24,24,14,20,12,14,14,20,27,25
583,24,24,14,20,12,14,14,20,27,25
584,24,24,14,20,12,14,14,20,27,25
585,24,24,14,20,12,14,14,20,27,25
586,24,24,14,20,12,14,14,20,27,25
587,24,24,14,20,12,14,14,20,27,25
588,24,24,14,20,12,14,14,20,27,25
589,24,24,14,20,12,14,14,20,27,25
590,24,24,14,20,12,14,14,20,27,25
591,24,24,14,20,12,14,14,20,27,25
592,24,24,14,20,12,14,14,20,27,25
593,24,24,14,20,12,14,14,20,27,25
594,24,24,14,20,12,14,14,20,27,25
595,24,24,14,20,12,14,14,20,27,25
596,24,24,14,20,12,14,14,20,27,25
597,24,24,14,20,12,14,14,20,27,25
598,24,24,14,20,12,14,14,20,27,25
599,24,24,14,20,12,14,14,20,27,25
600,24,24,14,20,12,14,14,20,27,25
601,24,24,14,20,12,14,14,20,27,25
602,24,24,14,20,12,14,14,20,27,25
603,24,24,14,20,12,14,14,20,27,25
604,24,24,14,20,12,14,14,20,27,25
605,24,24,14,20,12,14,14,20,27,25
606,24,24,14,20,12,14,14,20,27,25
607,24,24,14,20,12,14,14,20,27,25
608,24,24,14,20,12,14,14,20,27,25
609,24,24,14,20,12,14,14,20,27,25
610,24,24,14,20,12,14,14,20,27,25
611,24,24,14,20,12,14,14,20,27,25
612,24,24,14,20,12,14,14,20,27,25
613,24,24,14,20,12,14,14,20,27,25
614,24,24,14,20,12,14,14,20,27,25
615,24,24,14,20,12,14,14,20,27,25
616,24,24,14,20,12,14,14,20,27,25
617,24,24,14,20,12,14,14,20,27,25
618,24,24,14,20,12,14,14,20,27,25
619,24,24,14,20,12,14,14,20,27,25
620,24,24,14,20,12,14,14,20,27,25
621,24,24,14,20,12,14,14,20,27,25
